#
#
#   rmid                  xi                    err                 
#   float                 float                 float               
####################################################################
    0.12300072061208515   25.348125564665935    1.0142446369824099  
    0.17958282480975946   37.016581171875139    1.8251027419300707  
    0.26219351241332567   31.041202695602678    1.6620340104256408  
    0.38280630691972939   25.904545607646458    1.4521345896843585  
    0.55890272519982576   18.521138029964099    0.99637340876544012 
    0.81600603383290982   12.9126625286201      0.68725903230590146 
    1.1913805698722391    8.5245422936335977    0.46842848201803505 
    1.7394328024782024    5.5376480199085343    0.32192158147102956 
    2.5395969607441513    3.3636358627966709    0.2062506214638479  
    3.707848163971688     2.1178955807788085    0.14043368196432771 
    5.4135117578026026    1.2403066696552552    0.090157834084180891
    7.9038051872317157    0.69044564879296999   0.055469160940951799
    11.539669484909037    0.35669034088423657   0.031265181983923508
    16.848083760472981    0.19268300127872551   0.018113827923326182
