#
#
#   rmid                  xi                    err                  
#   float                 float                 float                
#####################################################################
    0.12300072061208515   855.0                 14.250109058684439   
    0.17958282480975946   489.32727272727271    7.7735209566759398   
    0.26219351241332567   324.74358974358972    5.415015195308488    
    0.38280630691972939   179.57258064516128    2.9768965297870498   
    0.55890272519982576   104.81163434903048    1.8101974193309307   
    0.81600603383290982   51.943870678042209    0.91738818546633538  
    1.1913805698722391    22.6232108862723      0.41186208675958808  
    1.7394328024782024    8.9004691380737739    0.17888944565705611  
    2.5395969607441513    3.4678931342256272    0.081485781529972712 
    3.707848163971688     1.6266011330443853    0.044244401921522264 
    5.4135117578026026    0.81176946410515671   0.025144271550575609 
    7.9038051872317157    0.45488915981699241   0.015451939044173645 
    11.539669484909037    0.23707261297594728   0.0087407777832371816
    16.848083760472981    0.11771489166921612   0.0046565841837883206
